"Prvi pristop","Ime","Visna","Gorovje","Drzava"
"1978","Langtang Lirung","7227","Himalayas","Nepal"
"1979","Gauri Sankar","7134","Himalayas","Nepal"
"1979","Thalay Sagar","6904","Himalayas","Indija"
"1979","Uli Biaho Tower","6109","Karakoram","Pakistan"
"1979","Latok","7145","Karakoram","Pakistan"
"1980","Mitre Peak","6010","Karakoram","Pakistan"
"1980","Chutine Peak","2910","Coast Mountains","Kanada"
"1981","The Spectre","2020","Transantarctic Mts","Antarktika"
"1981","Amne Machin","6282","Kunlun Mountains","Kitajska"
"1981","Kongur Tagh","7649","Kunlun Mountains","Kitajska"
"1981","Bogda Feng","5445","Tian Shan","Kitajska"
"1982","Changtse","7543","Himalayas","Kitajska"
"1984","Yukshin Gardan Sar","7530","Karakoram","Pakistan"
"1984","Mamostong Kangri","7516","Karakoram","Indija"
"1985","Mount Hesperus","2996","Alaska Range","Zdruzene Drzave Amerike"
"1985","Gurla Mandhata","7694","Himalayas","Kitajska"
"1986","Kula Kangri","7538","Himalayas","Butan"
"1986","Gyala Peri","7294","Himalayas","Kitajska"
"1987","Shanzidou","5596","Mount Satseto","Kitajska"
"1987","Polar Sun Spire","1500","Baffin Mountains","Kanada"
"1987","Labuche Kang","7367","Himalayas","Kitajska"
"1988","Mount Minto","4163","Admiralty Mts","Antarktika"
"1988","Rimo I","7385","Karakoram","Indija"
"1988","Chakragil","6760","Kunlun Mountains","Kitajska"
"1990","Mount Sidley","4285","Marie Byrd Land","Antarktika"
"1990","Xuelian Feng","6627","Tian Shan","Kitajska"
"1991","Mount Kirkpatrick","4528","Alexandra Range","Antarktika"
"1992","Menlungtse","7181","Himalayas","Kitajska"
"1992","Namcha Barwa","7782","Himalayas","Kitajska"
"1993","The Crown","7295","Karakoram","Kitajska"
"1994","Ulvetanna Peak","2930","Queen Maud Land","Antarktika"
"1994","Passu Sar","7476","Karakoram","Pakistan"
"1994","Mount Epperly","4512","Ellsworth Mts","Antarktika"
"1995","Nyegyi Kansang","7047","Himalayas","Indija"
"1996","Peak 4111","4111","Ellsworth Mts","Antarktika"
"1996","Mount Foster","2105","South Shetland","Antarktika"
"1996","Ultar Sar","7388","Karakoram","Pakistan"
"1996","Hkakabo Razi","5881","Himalayas","Burma"
"1997","Rakekniven","2365","Queen Maud Land","Antarktika"
"1999","Gangkhar Puensum N","7535","Himalayas","Butan"
"2001","Meru C (Shark's Fin)","6310","Himalayas","Indija"
"2002","Sepu Kangri","6956","Nyenchen Tanglha","Kitajska"
"2002","Num Ri","6677","Himalayas","Nepal"
"2005","Tomort","4886","Tian Shan","Kitajska"
"2006","Mount Rutford","4477","Ellsworth Mts","Antarktika"
"2007","Mount Anderson","4144","Ellsworth Mts","Antarktika"
"2009","Changuch","6322","Himalayas","Indija"
"2011","Saser Kangri II","7518","Karakoram","Indija"
"2013","Kunyang Chhish East","7430","Karakoram","Pakistan"
"2013","Gamlang Razi","5870","Himalayas","Burma"
"2014","Gasherbrum V","7147","Karakorum","Pakistan"
"2018","Lunag Ri","6907","Himalayas","Nepal"
